"","seg","marca_venta","modelo_venta","version_venta","ventas_2021","pct_ventas_2021"
"1","SUV","CITROEN","C4 CACTUS","C4 CACTUS SHINE 1.6 AT 4X2 MERCOSUR",89,0.741666666666667
"2","SUV","CITROEN","C5 AIRCROSS","C5 AIRCROSS 1.6 THP AT6 LIVE",32,0.516129032258065
"3","SUV","RENAULT","STEPWAY","STEPWAY ZEN 1.6 MT 4X2",35,0.5
"4","SUV","SUZUKI","JIMNY","NEW JIMNY GL 1.5 MT 4X4",111,0.48471615720524
"5","SUV","RENAULT","KOLEOS","NEW KOLEOS PRIVILEGE 2.5 CVT 4X2",10,0.416666666666667
"6","SUV","CHANGAN","CX70","CX70 1.6L MT LUXURY GLPT",293,0.389627659574468
"7","SUV","CHANGAN","CS35","CS35 PLUS 1.6 MT LUXURY",333,0.383199079401611
"8","SUV","JAC","JS4","JS4 1.5T MT LUXURY",271,0.361333333333333
"9","SUV","MAZDA","CX-9","CX-9 PRIME 2.5T AT 2WD IPM IV",70,0.360824742268041
"10","SUV","RENAULT","DUSTER","NEW DUSTER ZEN 1.6 MT 4X2",205,0.359019264448336
"11","SUV","MAZDA","CX-9","CX-9 HIGH 2.5T AT AWD IPM IV",69,0.355670103092784
"12","SUV","SUZUKI","JIMNY","NEW JIMNY GL 1.5 AT 4X4",81,0.353711790393013
"13","SUV","CHANGAN","CS35","CS35 PLUS 1.4T AT LIMITED",300,0.345224395857307
"14","SUV","JAC","JS2","JS2 1.5 MT COMFORT",542,0.344126984126984
"15","SUV","SUZUKI","XL7","XL7 GLX 1.5 MT 4X2",154,0.318840579710145
"16","SUV","HAVAL","ALL NEW H6 HAVAL","ALL NEW H6 2.0 4X2 AT FL SUPREME",89,0.315602836879433
"17","SUV","RENAULT","STEPWAY","STEPWAY INTENS 1.6 MT 4X2",22,0.314285714285714
"18","SUV","RENAULT","CAPTUR","CAPTUR ZEN 4X2 2.0 AT GLPT",61,0.301980198019802
"19","SUV","RENAULT","CAPTUR","CAPTUR ZEN 4X2 2.0 MT",60,0.297029702970297
"20","SUV","SUZUKI","S-CROSS","S-CROSS 1.4 TURBO 2WD LIMITED AT",43,0.296551724137931
"21","SUV","MAZDA","CX-3","CX-3 CORE 2.0 AT 2WD IPM III",121,0.280092592592593
"22","SUV","CITROEN","C5 AIRCROSS","C5 AIRCROSS 1.6 THP AT6 FEEL",17,0.274193548387097
"23","SUV","HAVAL","JOLION","JOLION 1.5T MT 4X2 SUPREME",76,0.272401433691756
"24","SUV","CHANGAN","CS55","CS55 1.5T 6MT ELITE",88,0.269113149847095
"25","SUV","HAVAL","JOLION","JOLION 1.5T MT 4X2 INTELLIGENT",75,0.268817204301075
"26","SUV","SUZUKI","S-CROSS","S-CROSS 1.6 2WD GL 5MT",38,0.262068965517241
"27","SUV","CITROEN","C4 CACTUS","C4 CACTUS FEEL 1.6 AT 4X2 MERCOSUR",31,0.258333333333333
"28","SUV","SUZUKI","S-CROSS","S-CROSS 1.6 2WD GL AT",37,0.255172413793103
"29","SUV","CHANGAN","CS35","CS35 PLUS 1.6 MT COMFORTABLE",221,0.254315304948216
"30","SUV","RENAULT","KOLEOS","NEW KOLEOS PRIVILEGE 2.5 CVT 4X4",6,0.25
"31","SUV","MAZDA","CX-5","CX-5 CORE 2.0 AT 2WD IPM IV",228,0.247288503253796
"32","SUV","CHANGAN","CS15","NEW CS15 ELITE 1.5L MT 4X2",268,0.244748858447489
"33","SUV","SUZUKI","XL7","XL7 GLX 1.5 AT 4X2 GLPT",118,0.244306418219462
"34","SUV","MAZDA","CX-3","CX-3 CORE 2.0 MT 2WD IPM III",104,0.240740740740741
"35","SUV","HAVAL","JOLION","JOLION 1.5T AT 4X2 SUPREME PLUS",64,0.229390681003584
"36","SUV","CHANGAN","CS55","CS55 LUXURY 1.5L MT 4X2",75,0.229357798165138
"37","SUV","RENAULT","CAPTUR","CAPTUR ZEN 4X2 2.0 MT GLPT",46,0.227722772277228
"38","SUV","SUZUKI","XL7","XL7 GLX 1.5 MT 4X2 GLPT",108,0.22360248447205
"39","SUV","JAC","S3","S3 1.6 AT. LUXURY GLPT",38,0.219653179190751
"40","SUV","MAZDA","CX-3","CX-3 PRIME 2.0 MT 2WD IPM III",94,0.217592592592593
"41","SUV","RENAULT","DUSTER","NEW DUSTER INTENS 1.6 MT 4X2",124,0.217162872154116
"42","SUV","JAC","JS2","JS2 1.5 MT LUXURY",342,0.217142857142857
"43","SUV","SUZUKI","XL7","XL7 GLX 1.5 AT 4X2",103,0.213250517598344
"44","SUV","MAZDA","CX-5","CX-5 CORE 2.0 MT 2WD IPM IV",194,0.210412147505423
"45","SUV","CHANGAN","CS15","NEW CS15 CONFORT 1.5L MT 4X2",220,0.200913242009132
"46","SUV","MAZDA","CX30","CX-30 AT 2.0 2WD CORE",139,0.200577200577201
"47","SUV","HAVAL","ALL NEW H6 HAVAL","ALL NEW H6 2.0 4X2 AT FL INTELLIGENT",56,0.198581560283688
"48","SUV","MAZDA","CX30","CX-30 PRIME 2.0 AT 2WD NV",137,0.197691197691198
"49","SUV","RENAULT","DUSTER","NEW DUSTER ZEN 1.6 MT 4X2 GLPT",111,0.194395796847636
"50","SUV","CITROEN","C5 AIRCROSS","C5 AIRCROSS SHINE 1.6 AT 4X2 ADVC",12,0.193548387096774
"51","SUV","CHANGAN","CX70","CX70 1.6L MT LUXURY",140,0.186170212765957
"52","SUV","RENAULT","STEPWAY","STEPWAY INTENS 1.6 CVT 4X2",13,0.185714285714286
"53","SUV","JAC","S3","S3 1.6 MT LUXURY VVT GLPT",32,0.184971098265896
"54","SUV","CHANGAN","CX70","CX70 1.6L MT BASIC GLPT",138,0.183510638297872
"55","SUV","MAZDA","CX30","CX-30 AT 2.0 2WD HIGH",121,0.174603174603175
"56","SUV","RENAULT","CAPTUR","CAPTUR ZEN 4X2 2.0 AT",34,0.168316831683168
"57","SUV","HAVAL","ALL NEW H6 HAVAL","ALL NEW H6 2.0 4X2 AT FL ACTIVE",47,0.166666666666667
"58","SUV","JAC","JS2","JS2 1.5 MT COMFORT GLPT",258,0.163809523809524
"59","SUV","MAZDA","CX30","CX-30 MT 2.0 2WD CORE",112,0.161616161616162
"60","SUV","MAZDA","CX30","CX-30 PRIME 2.0 MT 2WD NV",110,0.158730158730159
"61","SUV","JAC","JS4","JS4 1.6 MT COMFORT",118,0.157333333333333
"62","SUV","MAZDA","CX-5","CX-5 PRIME 2.0 MT 2WD IPM IV",143,0.155097613882863
"63","SUV","SUZUKI","VITARA","NEW VITARA GL LUX MT 2WD",119,0.154145077720207
"64","SUV","JAC","JS4","JS4 1.5T MT LUXURY GLPT",115,0.153333333333333
"65","SUV","SUZUKI","VITARA","NEW VITARA GL LUX AT 2WD",118,0.152849740932642
"66","SUV","SUZUKI","VITARA","NEW VITARA GL COMFORT MT 2WD GLPT",115,0.148963730569948
"67","SUV","CHANGAN","CS55","CS55 LUXURY 1.5L AT 4X2",48,0.146788990825688
"68","SUV","HAVAL","ALL NEW H6 HAVAL","NG H6 2.0 4X2 AT SUPREME",41,0.145390070921986
"69","SUV","SUZUKI","VITARA","NEW VITARA GLX FULL 1.4 TURBO MT 4X2",111,0.143782383419689
"70","SUV","MAZDA","CX-9","CX-9 CORE 2.5T AT AWD IPM IV",27,0.139175257731959
"71","SUV","JAC","S3","S3 1.6 MT LUXURY VVT",24,0.138728323699422
"72","SUV","RENAULT","DUSTER","NEW DUSTER INTENS 1.6 MT 4X2 GLPT",78,0.136602451838879
"73","SUV","CHANGAN","CS15","NEW CS15 ELITE 1.5L MT 4X2 GLPT",148,0.135159817351598
"74","SUV","MAZDA","CX-3","CX-3 HIGH 2.0 AT 2WD IPM III",58,0.134259259259259
"75","SUV","JAC","S3","S3 1.6 MT COMFORT VVT",23,0.132947976878613
"76","SUV","CHANGAN","CS55","CS55 LUXURY 1.5L AT 4X2 GLPT",43,0.131498470948012
"77","SUV","MAZDA","CX-5","CX-5 HIGH 2.0 AT AWD IPM IV",119,0.129067245119306
"78","SUV","HAVAL","JOLION","JOLION 1.5T AT 4X2 SUPREME",36,0.129032258064516
"79","SUV","JAC","JS4","JS4 1.5T CVT LUXURY",94,0.125333333333333
"80","SUV","RENAULT","KOLEOS","KOLEOS INTENS 4X2 2.5 CVT RE",3,0.125
"81","SUV","RENAULT","KOLEOS","NEW KOLEOS INTENS 2.5 CVT 4X2",3,0.125
"82","SUV","JAC","JS2","JS2 1.5 MT LUXURY GLPT",189,0.12
"83","SUV","JAC","JS4","JS4 1.5T CVT LUXURY GLPT",90,0.12
"84","SUV","MAZDA","CX-5","CX-5 HIGH 2.0 AT 2WD IPM IV",106,0.114967462039046
"85","SUV","CHANGAN","CS55","CS55 LUXURY 1.5L MT 4X2 GLPT",37,0.113149847094801
"86","SUV","SUZUKI","VITARA","NEW VITARA GL COMFORT MT 2WD",87,0.112694300518135
"87","SUV","CHANGAN","CS55","CS55 1.5T 6MT ELITE GLPT",34,0.103975535168196
"88","SUV","MAZDA","CX-9","CX-9 SIGNATURE 2.5T AT AWD IPM IV",20,0.103092783505155
"89","SUV","SUZUKI","VITARA","NEW VITARA LIMITED 1.4 TURBO AT 4X2",76,0.0984455958549223
"90","SUV","HAVAL","ALL NEW H6 HAVAL","NG H6 2.0 4X4 AT SUPREME",27,0.0957446808510638
"91","SUV","CHANGAN","CS15","NEW CS15 CONFORT 1.5L MT 4X2 GLPT",102,0.0931506849315069
"92","SUV","JAC","S3","S3 1.6 MT COMFORT VVT GLPT",16,0.092485549132948
"93","SUV","CHANGAN","CS15","NEW CS15 ELITE 1.5L DCT 4X2 GLPT",95,0.0867579908675799
"94","SUV","RENAULT","KOLEOS","KOLEOS PRIVILEGE 4X2 2.5 CVT",2,0.0833333333333333
"95","SUV","CHANGAN","CS15","NEW CS15 ELITE 1.5L DCT 4X2",91,0.0831050228310502
"96","SUV","JAC","JS4","JS4 1.6 MT COMFORT GLPT",62,0.0826666666666667
"97","SUV","CHANGAN","CS15","NEW CS15 LUXURY 1.5L DCT 4X2",89,0.0812785388127854
"98","SUV","CHANGAN","CX70","CX70 1.5T AT COMFORTABLE",60,0.0797872340425532
"99","SUV","SUZUKI","S-CROSS","S-CROSS 1.6 2WD GL AT GLPT",11,0.0758620689655172
"100","SUV","JAC","S3","GRAND S3 1.6 MT LUXURY GLPT",13,0.0751445086705202
"101","SUV","SUZUKI","JIMNY","NEW JIMNY GL 1.5 MT 4X4 TC",17,0.074235807860262
"102","SUV","CHANGAN","CS15","NEW CS15 LUXURY 1.5L DCT 4X2 GLPT",78,0.0712328767123288
"103","SUV","HAVAL","ALL NEW H6 HAVAL","NG H6 2.0 4X2 AT INTELLIGENT",20,0.0709219858156028
"104","SUV","CHANGAN","CX70","CX70 1.6L MT BASIC",53,0.0704787234042553
"105","SUV","JAC","S3","S3 1.6 AT. LUXURY",12,0.069364161849711
"106","SUV","SUZUKI","JIMNY","NEW JIMNY GL 1.5 AT 4X4 TC",15,0.0655021834061135
"107","SUV","MAZDA","CX30","CX-30 AT 2.0 AWD HIGH",42,0.0606060606060606
"108","SUV","JAC","JS2","JS2 1.5 CVT LUXURY GLPT",88,0.0558730158730159
"109","SUV","SUZUKI","S-CROSS","S-CROSS 1.4 TURBO ALLGRIP LIMITED AT",8,0.0551724137931034
"110","SUV","SUZUKI","S-CROSS","S-CROSS 1.6 2WD GL 5MT GLPT",8,0.0551724137931034
"111","SUV","JAC","S3","GRAND S3 1.6 MT LUXURY",9,0.0520231213872832
"112","SUV","SUZUKI","VITARA","NEW VITARA GL LUX AT 2WD GLPT",40,0.0518134715025907
"113","SUV","SUZUKI","VITARA","NEW VITARA LIMITED AT 1.4 TURBO ALLGRIP",40,0.0518134715025907
"114","SUV","JAC","JS2","JS2 1.5 CVT LUXURY",77,0.0488888888888889
"115","SUV","CHANGAN","CX70","CX70 1.5T AT COMFORTABLE GLPT",36,0.0478723404255319
"116","SUV","MAZDA","CX30","CX-30 AT 2.5 AWD HIGH",31,0.0447330447330447
"117","SUV","SUZUKI","VITARA","NEW VITARA GLX FULL MT 1.4 TURBO ALLGRIP",33,0.0427461139896373
"118","SUV","CHANGAN","CX70","CX70 1.5T MT COMFORTABLE",32,0.0425531914893617
"119","SUV","MAZDA","CX-5","CX-5 AT 2.0 2WD HIGH IPM",39,0.0422993492407809
"120","SUV","RENAULT","DUSTER","NEW DUSTER INTENS 1.3 CVT 4X2 TURBO",20,0.0350262697022767
"121","SUV","SUZUKI","VITARA","NEW VITARA GL LUX MT 2WD GLPT",27,0.0349740932642487
"122","SUV","MAZDA","CX-3","CX3 MT 2.0 2WD GS CORE IPM II PE",15,0.0347222222222222
"123","SUV","MAZDA","CX-3","CX-3 HIGH 2.0 AT AWD IPM III",14,0.0324074074074074
"124","SUV","HAVAL","JOLION","JOLION 1.5T AT 4X2 SUPREME PLUS GLPT",9,0.032258064516129
"125","SUV","RENAULT","DUSTER","NEW DUSTER INTENS 1.3 MT 4X4 TURBO",18,0.031523642732049
"126","SUV","MAZDA","CX-5","CX-5 SIGNATURE 2.5T AT AWD IPM IV",26,0.0281995661605206
"127","SUV","JAC","JS2","JS2 1.5 CVT COMFORT GLPT",41,0.026031746031746
"128","SUV","MAZDA","CX-9","CX9 AT 2.5T AWD HIGH IPM III",5,0.0257731958762887
"129","SUV","HAVAL","JOLION","JOLION 1.5T AT 4X2 SUPREME GLPT",7,0.025089605734767
"130","SUV","JAC","JS2","JS2 1.5 CVT COMFORT",38,0.0241269841269841
"131","SUV","MAZDA","CX-5","CX-5 AT 2.0 2WD CORE IPM",22,0.0238611713665944
"132","SUV","MAZDA","CX-3","CX3 AT 2.0 2WD GS CORE IPM II PE",10,0.0231481481481481
"133","SUV","MAZDA","CX-3","CX3 MT 2.0 2WD GS ENTRY IPM II PE",9,0.0208333333333333
"134","SUV","HAVAL","JOLION","JOLION 1.5T MT 4X2 INTELLIGENT GLPT",5,0.017921146953405
"135","SUV","RENAULT","DUSTER","DUSTER ZEN 4X2 MT 1.6 V2",10,0.0175131348511384
"136","SUV","SUZUKI","JIMNY","NEW JIMNY 1.5 AT TC",4,0.0174672489082969
"137","SUV","MAZDA","CX-5","CX-5 MT 2.0 2WD CORE IPM",16,0.017353579175705
"138","SUV","CITROEN","C5 AIRCROSS","C5 AIRCROSS 1.6 THP AT SHINE",1,0.0161290322580645
"139","SUV","MAZDA","CX-5","CX-5 MT 2.0 2WD PRIME IPM",14,0.0151843817787419
"140","SUV","HAVAL","JOLION","JOLION 1.5T MT 4X2 SUPREME GLPT",4,0.014336917562724
"141","SUV","MAZDA","CX-3","CX-3 PRIME 2.0 MT 2WD IPM IV",5,0.0115740740740741
"142","SUV","JAC","S3","GRAND S3 1.6 MT COMFORT GLPT",2,0.0115606936416185
"143","SUV","CHANGAN","CS35","NEW CS35 PLUS LUXURY 1.4T AT 2WD",10,0.0115074798619102
"144","SUV","HAVAL","JOLION","JOLION 1.5T FL AT 4X2 SUPREME PLUS",3,0.010752688172043
"145","SUV","HAVAL","ALL NEW H6 HAVAL","NG H6 2.0 4X2 AT ACTIVE",2,0.00709219858156028
"146","SUV","CHANGAN","CS55","CS55 1.5T 6MT COMFORTABLE",2,0.00611620795107034
"147","SUV","JAC","S3","GRAND S3 1.6 AT LUXURY SUNROOF GLPT",1,0.00578034682080925
"148","SUV","JAC","S3","GRAND S3 1.6 MT COMFORT",1,0.00578034682080925
"149","SUV","JAC","S3","GRAND S3 1.6 MT LUXURY SUNROOF GLPT",1,0.00578034682080925
"150","SUV","JAC","S3","S3 1.5 MT. LUXURY",1,0.00578034682080925
"151","SUV","SUZUKI","VITARA","NEW VITARA GLX FULL AT 2WD",4,0.00518134715025907
"152","SUV","MAZDA","CX-9","CX9 AT 2.5T 2WD PRIME IPM III",1,0.00515463917525773
"153","SUV","MAZDA","CX-9","CX9 AT 2.5T AWD CORE IPM III",1,0.00515463917525773
"154","SUV","MAZDA","CX-9","CX9 AT 2.5T AWD GS CORE IPM PE",1,0.00515463917525773
"155","SUV","RENAULT","CAPTUR","NEW CAPTUR ZEN 1.6 MT 4X2",1,0.00495049504950495
"156","SUV","MAZDA","CX-3","CX3 AT 2.0 AWD GS HIGH IPM II PE",2,0.00462962962962963
"157","SUV","SUZUKI","JIMNY","NEW JIMNY 1.5 AT",1,0.00436681222707424
"158","SUV","MAZDA","CX-5","CX-5 AT 2.0 AWD HIGH IPM",4,0.00433839479392625
"159","SUV","RENAULT","DUSTER","DUSTER ZEN 4X2 MT 1.6 V2 GLPT",2,0.00350262697022767
"160","SUV","CHANGAN","CS35","NEW CS35 1.6MT 4X2 COMFORTABLE",3,0.00345224395857307
"161","SUV","MAZDA","CX-5","CX-5 AT 2.0 2WD HIGH",3,0.00325379609544469
"162","SUV","MAZDA","CX-5","CX-5 AT 2.0 2WD CORE",2,0.00216919739696312
"163","SUV","CHANGAN","CS15","CS15 DCT 1.5L FASHION",2,0.00182648401826484
"164","SUV","RENAULT","DUSTER","DUSTER INTENS 4X2 5MT 1.6 ULC GLPT",1,0.00175131348511384
"165","SUV","RENAULT","DUSTER","DUSTER INTENS 4X4 6MT 2.0 ULC GLPT",1,0.00175131348511384
"166","SUV","RENAULT","DUSTER","DUSTER ZEN 4X2 MT 1.6",1,0.00175131348511384
"167","SUV","MAZDA","CX30","CX-30 AT 2.0 2WD PRIME",1,0.00144300144300144
"168","SUV","SUZUKI","VITARA","NEW VITARA GL LUX 6AT 2WD VVT",1,0.00129533678756477
"169","SUV","SUZUKI","VITARA","NEW VITARA GLX MT 4WD VVT GLPT",1,0.00129533678756477
"170","SUV","CHANGAN","CS35","NEW CS35 1.6MT 4X2 LUXURY",1,0.00115074798619102
"171","SUV","CHANGAN","CS35","NEW CS35 PLUS 1.6AT 4X2",1,0.00115074798619102
"172","SUV","MAZDA","CX-5","CX-5 MT 2.0 2WD PRIME",1,0.00108459869848156
"173","SUV","MAZDA","CX-5","CX5 AT 2.0 2WD GS CORE NEW PER",1,0.00108459869848156
"174","SUV","MAZDA","CX-5","CX5 AT 2.0 2WD GS HIGH NEW PER",1,0.00108459869848156
"175","SUV","MAZDA","CX-5","CX5 AT 2.5 AWD GS HIGH IPM PE",1,0.00108459869848156
"176","SUV","MAZDA","CX-5","CX5 MT 2.0 AWD GS CORE NEW PE",1,0.00108459869848156
"177","SUV","MAZDA","CX-5","CX9 AT 2.5T AWD GS HIGH IPM II PE",1,0.00108459869848156
"178","SUV","CHANGAN","CS15","CS15 MT 1.5L SPORT",1,0.00091324200913242
"179","SUV","CHANGAN","CS15","NEW CS15 MT 1.5L CONFORT",1,0.00091324200913242
